id;title;length;year;reals;actors;genres;boxoffice
6078;One Piece Film Z;108;2012;Tatsuya Nagamine;Mayumi Tanaka, Kazuya Nakai, Akemi Okamura;Animation, Action, Aventure;
6079;Bhooter Bhabishyat;123;2012;Anik Dutta;Swastika Mukherjee, Parambrata Chatterjee, Sabyasachi Chakraborty;Comedie, Fantastique;
6080;Billa 2;129;2012;Chakri Toleti;Ajith Kumar, Parvathy Omanakuttan, Bruna Abdullah;Action, Drame, Thriller;
6081;Piazza Fontana;129;2012;Marco Tullio Giordana;Valerio Mastandrea, Pierfrancesco Favino, Michela Cescon;Drame;
6082;Les paradis artificiels;96;2012;Marcos Prado;Nathalia Dill, Luca Bianchi, LÃ­via de Bueno;Drame;
6083;Khiladi 786;141;2012;Ashish R. Mohan;Akshay Kumar, Asin, Raj Babbar;Action, Comedie;
6084;Uzun hikaye;125;2012;Osman Sinav;Kenan Imirzalioglu, TugÃ§e Kazaz, Mustafa Alabora;Drame;
6085;Eat Sleep Die;104;2012;Gabriela Pichler;Nermina Lukac, Milan Dragisic, Jonathan Lampinen;Drame;
6086;Le grand soir;92;2012;Gustave de Kervern, BenoÃ®t DelÃ©pine;BenoÃ®t Poelvoorde, Albert Dupontel, Brigitte Fontaine;Comedie;
6087;Ferrari Ki Sawaari;0;2012;Rajesh Mapuskar;Sharman Joshi, Boman Irani, Ritwik Sahore;Crime, Familliale, Sport;
6088;Evim Sensin;0;2012;Ã–zcan Deniz;Ã–zcan Deniz, Gizem Denizci, Fahriye Evcen;Fantastique, Romantique;
6089;Ustad Hotel;0;2012;Anwar Rasheed;Dulquer Salmaan, Thilakan, Nithya Menon;Comedie, Drame, Musical;
6090;Benvenuti al nord;110;2012;Luca Miniero;Claudio Bisio, Alessandro Siani, Angela Finocchiaro;Comedie;
6091;Yeralti;107;2012;Zeki Demirkubuz;Engin GÃ¼naydin, Serhat Tutumluer, Nihal Yalcin;Drame;
6092;War Zone;120;2012;Dzhanik Fayziev;Svetlana Ivanova, Maksim Matveyev, Egor Beroev;Action, Drame, Fantastique;
6093;Television;106;2012;Mostofa Sarwar Farooki;Chanchal Chowdhury, Shahir Kazi Huda, Mosharraf Karim;Drame;
6094;Kyaa Super Kool Hain Hum;0;2012;Sachin Yardi;Anupam Kher, Rohit Shetty, Neha Sharma;Comedie;
6095;An...;111;2012;Christoforos Papakaliatis;Christoforos Papakaliatis, Marina Kalogirou, Maro Kodou;Drame, MystÃ¨re, Romantique;
6096;Geon-chook-hak-gae-ron;118;2012;Yong-Joo Lee;Tae-woong Eom, Ga-in Han, Je-hoon Lee;Drame, Romantique;
6097;Vettai;150;2012;N. Linguswamy;Aarya, Madhavan, Sameera Reddy;Action;
6098;Julayi;0;2012;Trivikram Srinivas;Allu Arjun, Ileana, Rajendraprasad;Action, Comedie, Drame;
6099;3;145;2012;Aishwarya Dhanush;Dhanush, Shruti K. Haasan, Prabhu;Drame, MystÃ¨re, Romantique;
6100;Sen Kimsin;0;2012;Ozan Aciktan;Sarp Bozkurt, Tolga Cevik, KÃ¶ksal EngÃ¼r;Comedie;
6101;God Loves Caviar;101;2012;Yannis Smaragdis;Sebastian Koch, Evgeniy Stychkin, Juan Diego Botto;Aventure, Biopic, Historique;
6102;Dabbe: Bir cin vakasi;119;2012;Hasan Karacadag;Elcin AtamgÃ¼c, Nihan Aypolat, Pervin Bagdat;Horreur;
6103;Business Man;0;2012;Puri Jagannadh;Mahesh Babu, Kajal Agarwal, Prakash Raj;Action, Comedie, Crime;
6104;A Warrior's Heart;86;2011;Michael F. Sears;Kellan Lutz, Adam Beach, Ridge Canipe;Action, Drame, Familliale;
6105;Age of Heroes;90;2011;Adrian Vitoria;Sean Bean, Danny Dyer, Aksel Hennie;Action, Aventure, Drame;
6106;La vengeance du petit chaperon rouge;86;2011;Mike Disa;Hayden Panettiere, Glenn Close, Patrick Warburton;Animation, Comedie, Familliale;
6107;Madea's Big Happy Family;106;2011;Tyler Perry;Tyler Perry, Loretta Devine, Bow Wow;Comedie, Drame;
6108;Inseparable;0;2011;Dayyan Eng;Kevin Spacey, Daniel Wu, Beibi Gong;Drame, Thriller;
6109;Elles;99;2011;Malgorzata Szumowska;Juliette Binoche, AnaÃ¯s Demoustier, Joanna Kulig;Drame;
6110;La dÃ©licatesse;108;2011;David Foenkinos, StÃ©phane Foenkinos;Audrey Tautou, FranÃ§ois Damiens, Bruno Todeschini;Comedie, Drame, Romantique;
6111;There Be Dragons;122;2011;Roland JoffÃ©;Charlie Cox, Wes Bentley, Dougray Scott;Biopic, Drame, Guerre;
6112;I Melt with You;122;2011;Mark Pellington;Thomas Jane, Rob Lowe, Jeremy Piven;Drame;
6113;X;90;2011;Jon Hewitt;Viva Bianca, Hanna Mangan Lawrence, Peter Docker;Crime, Drame, Thriller;
6114;247Â°F;88;2011;Levan Bakhia, Beqa Jguburia;Scout Taylor-Compton, Christina Ulloa, Travis Van Winkle;Horreur, Thriller;
6115;My Best Men;97;2011;Stephan Elliott;Laura Brent, Xavier Samuel, Kris Marshall;Comedie;
6116;All Things Fall Apart;0;2011;Mario Van Peebles;50 Cent, Ray Liotta, Lynn Whitfield;Drame, Sport;
6117;Prom;104;2011;Joe Nussbaum;Aimee Teegarden, Thomas McDonell, DeVaughn Nixon;Comedie, Drame;
6118;The Phantom of the Opera at the Royal Albert Hall;137;2011;Nick Morris, Laurence Connor;Ramin Karimloo, Sierra Boggess, Hadley Fraser;Drame, Music, Musical;
6119;The Family Tree;87;2011;Vivi Friedman;Rachael Leigh Cook, Hope Davis, Dermot Mulroney;Comedie, Drame;
6120;W.E.;119;2011;Madonna;Abbie Cornish, James D'Arcy, Andrea Riseborough;Drame, Historique, Romantique;
6121;Honey 2 (Dance Battle);110;2011;Bille Woodruff;Kat Graham, Randy Wayne, Aaron Benjamin;Comedie, Drame, Music;
6122;Tomboy;82;2011;CÃ©line Sciamma;ZoÃ© HÃ©ran, Malonn LÃ©vana, Jeanne Disson;Drame;
6123;Touchback;118;2011;Don Handfield;Brian Presley, Kurt Russell, Melanie Lynskey;Drame, Familliale, Fantastique;
6124;Detention;93;2011;Joseph Kahn;Josh Hutcherson, Shanley Caswell, Spencer Locke;Comedie, Horreur, Science-Fiction;
6125;Little Birds;94;2011;Elgin James;Juno Temple, Kay Panabaker, Leslie Mann;Drame;
6126;Horrid Henry: The Movie;93;2011;Nick Moore;Theo Stevenson, Richard E. Grant, Parminder Nagra;Aventure, Comedie, Familliale;
6127;Absentia;87;2011;Mike Flanagan;Katie Parker, Courtney Bell, Dave Levine;Drame, Horreur, MystÃ¨re;
6128;White Elephant;91;2011;Prachya Pinkaew;Djimon Hounsou, Kevin Bacon, Jirantanin Pitakporntrakul;Action, Crime, Fantastique;
6129;Never Back Down 2: The Beatdown;90;2011;Michael Jai White;Michael Jai White, Dean Geyer, Alex Meraz;Action, Drame, Sport;
6130;Higher Ground;109;2011;Vera Farmiga;Vera Farmiga, Joshua Leonard, Dagmara Dominczyk;Drame;
6131;"Violet &amp; Daisy";88;2011;Geoffrey Fletcher;Saoirse Ronan, Alexis Bledel, James Gandolfini;Action, Comedie, Crime;
6132;Dark Horse;86;2011;Todd Solondz;Jordan Gelber, Selma Blair, Christopher Walken;Comedie, Drame;
6133;Jumping the Broom;112;2011;Salim Akil;Paula Patton, Laz Alonso, Angela Bassett;Comedie, Drame;
6134;The Big Bang;101;2011;Tony Krantz;Antonio Banderas, Thomas Kretschmann, William Fichtner;Action, MystÃ¨re, Thriller;
6135;Sound of My Voice;85;2011;Zal Batmanglij;Christopher Denham, Nicole Vicius, Brit Marling;Drame, MystÃ¨re, Science-Fiction;
6136;Wreckers;85;2011;Dictynna Hood;Claire Foy, Benedict Cumberbatch, Shaun Evans;Drame;
6137;Les crimes de Snowtown;119;2011;Justin Kurzel;Lucas Pittaway, Daniel Henshall, Louise Harris;Biopic, Crime, Drame;
6138;La chambre des suicidÃ©s;110;2011;Jan Komasa;Jakub Gierszal, Roma Gasiorowska, Agata Kulesza;Drame, Thriller;
6139;Love Next Door;90;2011;Julian Farino;Leighton Meester, Hugh Laurie, Catherine Keener;Comedie, Drame, Romantique;
6140;Twixt;88;2011;Francis Ford Coppola;Val Kilmer, Bruce Dern, Elle Fanning;Horreur, Thriller;
6141;Run or Die;89;2011;Michael Corrente;Peter Facinelli, Jaimie Alexander, Michael Madsen;Action, Comedie, Crime;
6142;Vile;90;2011;Taylor Sheridan;Eric Jay Beck, April Matson, Akeem Smith;Horreur;
6143;11;90;2011;Darren Lynn Bousman;Timothy Gibbs, Michael Landes, Wendy Glenn;Horreur, Thriller;
6144;Wild Bill;98;2011;Dexter Fletcher;Charlie Creed-Miles, Will Poulter, Sammy Williams;Drame;
6145;The Hit List;90;2011;William Kaufman;Cuba Gooding Jr., Cole Hauser, Jonathan LaPaglia;Action, Thriller;
6146;The Deep Blue Sea;98;2011;Terence Davies;Rachel Weisz, Tom Hiddleston, Ann Mitchell;Drame, Romantique;
6147;Enter Nowhere;90;2011;Jack Heller;Katherine Waterston, Scott Eastwood, Sara Paxton;MystÃ¨re, Thriller;
6148;L!fe Happens;100;2011;Kat Coiro;Krysten Ritter, Kate Bosworth, Rachel Bilson;Comedie;
6149;Death of a Superhero;97;2011;Ian Fitzgibbon;Thomas Brodie-Sangster, Lilli Forgach, Ian Fitzgibbon;Animation, Drame;
6150;"Peace, Love, &amp; Misunderstanding";96;2011;Bruce Beresford;Jane Fonda, Catherine Keener, Elizabeth Olsen;Comedie, Drame;
6151;Turn me on!;76;2011;Jannicke Systad Jacobsen;Helene Bergsholm, Malin BjÃ¸rhovde, Henriette Steenstrup;Comedie;
6152;Hell;89;2011;Tim Fehlbaum;Hannah Herzsprung, Lars Eidinger, Stipe Erceg;Horreur, Science-Fiction, Thriller;
6153;96 Minutes;93;2011;Aimee Lagos;Brittany Snow, Evan Ross, Sharon Conley;Drame, Thriller;
6154;Atlas Shrugged: Part I;97;2011;Paul Johansson;Taylor Schilling, Grant Bowler, Matthew Marsden;Drame, MystÃ¨re, Science-Fiction;
6155;Snow Flower and the Secret Fan;104;2011;Wayne Wang;Bingbing Li, Gianna Jun, Vivian Wu;Drame, Historique;
6156;La colline aux coquelicots;91;2011;Goro Miyazaki;Sarah Bolger, Chris Noth, Anton Yelchin;Animation, Drame, Familliale;
6157;Take Me Home;97;2011;Sam Jaeger;Sam Jaeger, Amber Jaeger, Victor Garber;Comedie, Romantique;
6158;Les hauts de Hurlevent;129;2011;Andrea Arnold;Kaya Scodelario, James Howson, Solomon Glave;Drame, Romantique;
6159;Sniper: Reloaded;91;2011;Claudio FÃ¤h;Clyde Berning, Chad Michael Collins, Hlomla Dandala;Action, Drame, Thriller;
6160;From Prada to Nada;107;2011;Angel Gracia;Camilla Belle, Alexa PenaVega, Kuno Becker;Comedie, Drame, Romantique;
6161;Retreat;90;2011;Carl Tibbetts;Jamie Bell, Cillian Murphy, Thandie Newton;Thriller;
6162;United;90;2011;James Strong;Dean Andrews, Kate Ashfield, Natalie Burt;Drame, Historique, Sport;
6163;The Legend of Awesomest Maximus;90;2011;Jeff Kanew;Will Sasso, Kristanna Loken, Sophie Monk;Comedie;
6164;The Day;87;2011;Douglas Aarniokoski;Shawn Ashmore, Brianna Barnes, Ashley Bell;Action, Drame, Horreur;
6165;The Reunion;0;2011;Michael Pavone;John Cena, Ethan Embry, Amy Smart;Action, Drame;
6166;Margaret;150;2011;Kenneth Lonergan;Anna Paquin, Matt Damon, Mark Ruffalo;Drame;
6167;Emergo;80;2011;Carles Torrens;Kai Lennox, Gia Mantegna, Michael O'Keefe;Horreur, Thriller;
6168;Girl Walks Into a Bar;80;2011;Sebastian Gutierrez;Gil Bellows, Xander Berkeley, Alexis Bledel;Comedie, Drame;
6169;Judy Moody and the Not Bummer Summer;91;2011;John Schultz;Jordana Beatty, Heather Graham, Parris Mosteller;Comedie, Familliale;
6170;Love, Wedding, Marriage;90;2011;Dermot Mulroney;Mandy Moore, Kellan Lutz, James Brolin;Comedie;
6171;Bucky Larson: Born to Be a Star;97;2011;Tom Brady;Nick Swardson, Don Johnson, Christina Ricci;Comedie;
6172;Hideaways;88;2011;AgnÃ¨s Merlet;Rachel Hurd-Wood, Harry Treadaway, Thomas Brodie-Sangster;Fantastique, Thriller;
6173;Or noir;130;2011;Jean-Jacques Annaud;Tahar Rahim, Antonio Banderas, Mark Strong;Aventure, Drame;
6174;Kyss mig;105;2011;Alexandra-Therese Keining;Ruth Vega Fernandez, Liv MjÃ¶nes, Krister Henriksson;Drame, Romantique;
6175;The Decoy Bride;89;2011;Sheree Folkson;Kelly Macdonald, David Tennant, Alice Eve;Comedie, Drame, Romantique;
6176;Lovely Molly;99;2011;Eduardo SÃ¡nchez;Gretchen Lodge, Johnny Lewis, Alexandra Holden;Drame, Horreur;
6177;Dirty Movie;91;2011;Jerry Daigle, Christopher Meloni;Emily Donahoe, Christopher Meloni, Diane Neal;Comedie;
6178;October Baby;107;2011;Andrew Erwin, Jon Erwin;Rachel Hendrix, Jason Burkey, John Schneider;Drame;
6179;The Moth Diaries;82;2011;Mary Harron;Sarah Bolger, Sarah Gadon, Lily Cole;Horreur;
6180;Will;102;2011;Ellen Perry;Damian Lewis, Bob Hoskins, Rebekah Staton;Drame, Familliale, Sport;
6181;The Good Doctor;91;2011;Lance Daly;Orlando Bloom, Riley Keough, Taraji P. Henson;Drame, Thriller;
6182;CafÃ© de Flore;120;2011;Jean-Marc VallÃ©e;Vanessa Paradis, Kevin Parent, HÃ©lÃ¨ne Florent;Drame, Romantique;
6183;Rock'N'Love;80;2011;David Mackenzie;Luke Treadaway, Natalia Tena, Rebecca Benson;Comedie, Drame, Music;
6184;King Rising 2: les deux mondes;96;2011;Uwe Boll;Dolph Lundgren, Lochlyn Munro, Natassia Malthe;Action, Aventure, Drame;
6185;Megan Is Missing;85;2011;Michael Goi;Amber Perkins, Rachel Quinn, Dean Waite;Crime, Drame, Horreur;
6186;Cougars Inc.;79;2011;K. Asher Levin;Kyle Gallner, Sarah Hyland, James Belushi;Comedie, Drame;
6187;Red Dog;92;2011;Kriv Stenders;Josh Lucas, Rachael Taylor, Rohan Nichol;Comedie, Drame, Familliale;
6188;Space Time: L'ultime OdyssÃ©e;84;2011;William Eubank;Gunner Wright, Corey Richardson, Bradley Horne;Drame, Science-Fiction;
6189;That's What I Am;101;2011;Michael Pavone;Ed Harris, Chase Ellison, Molly Parker;Comedie, Drame;
6190;Albatross;90;2011;Niall MacCormick;Felicity Jones, Jessica Brown Findlay, Sebastian Koch;Drame;
6191;The Lady;132;2011;Luc Besson;Michelle Yeoh, David Thewlis, Jonathan Raggett;Biopic, Drame, Historique;
6192;Cat Run;102;2011;John Stockwell;Paz Vega, Janet McTeer, Christopher McDonald;Action, Comedie;
6193;Papa, ses embrouilles et moi;103;2011;Stephen Herek;Paul Levesque, Kevin Corrigan, JosÃ© ZÃºÃ±iga;Action, Comedie, Familliale;
6194;Freerunner;87;2011;Lawrence Silverstein;Sean Faris, Tamer Hassan, Rebecca Da Costa;Action;
6195;Mardi Gras: Spring Break;88;2011;Phil Dornfeld;Nicholas D'Agosto, Josh Gad, Bret Harrison;Comedie;
6196;Sex and Zen: Extreme Ecstasy;129;2011;Christopher Sun Lap Key;Hiro Hayama, Leni Lan, Saori Hara;Comedie, Drame;
6197;The Caller;92;2011;Matthew Parkhill;Rachelle Lefevre, Stephen Moyer, Lorna Raver;Horreur, MystÃ¨re, Thriller;
6198;Swordsmen;115;2011;Peter Chan;Donnie Yen, Takeshi Kaneshiro, Wei Tang;Action, Drame;
6199;Damsels in Distress;99;2011;Whit Stillman;Greta Gerwig, Adam Brody, Analeigh Tipton;Comedie, Drame, Romantique;
6200;Beneath the Darkness;96;2011;Martin Guigui;Dennis Quaid, Tony Oller, Aimee Teegarden;Horreur, Thriller;
6201;You May Not Kiss the Bride;99;2011;Rob Hedden;Dave Annable, Katharine McPhee, Rob Schneider;Comedie, Romantique;
6202;Le sorcier et le serpent blanc;100;2011;Siu-Tung Ching;Jet Li, Shengyi Huang, Raymond Lam;Action, Fantastique;
6203;Blackthorn;102;2011;Mateo Gil;Sam Shepard, Eduardo Noriega, Stephen Rea;Action, Aventure, Western;
6204;Swinging with the Finkels;85;2011;Jonathan Newman;Martin Freeman, Mandy Moore, Jonathan Silverman;Comedie, Romantique;
6205;Q;103;2011;Laurent Bouhnik;DÃ©borah RÃ©vy, HÃ©lÃ¨ne Zimmer, Gowan Didi;Drame;
6206;Blood Reich;79;2011;Uwe Boll;Natassia Malthe, Brendan Fletcher, Michael ParÃ©;Action, Aventure, Fantastique;
6207;Choi-jong-byeong-gi Hwal;122;2011;Han-min Kim;Hae-il Park, Ryu Seung-Ryong, Mu-Yeol Kim;Action, Historique;
6208;Largo Winch II;119;2011;JÃ©rÃ´me Salle;Tomer Sisley, Sharon Stone, Ulrich Tukur;Action, Aventure, Thriller;
6209;Cassadaga;108;2011;Anthony DiBlasi;Kelen Coleman, Avis-Marie Barnes, Kevin Alejandro;Horreur, Thriller;
6210;Going Down in LA-LA Land;104;2011;Casper Andreas;Matthew Ludwinski, Allison Lane, Michael Medico;Comedie, Drame, Romantique;
6211;The Trouble with Bliss;97;2011;Michael Knowles;Michael C. Hall, Peter Fonda, Lucy Liu;Comedie, Drame;
6212;Julia X;92;2011;P.J. Pettiette;Valerie Azlynn, Kevin Sorbo, Alicia Leigh Willis;Horreur, Thriller;
6213;Sous la ville;145;2011;Agnieszka Holland;Robert Wieckiewicz, Benno FÃ¼rmann, Agnieszka Grochowska;Drame, Guerre;
6214;Seven Days in Utopia;100;2011;Matt Russell;Lucas Black, Robert Duvall, Melissa Leo;Drame, Sport;
6215;Salvation Boulevard;96;2011;George Ratliff;Greg Kinnear, Pierce Brosnan, Marisa Tomei;Action, Comedie, Drame;
6216;Miss Bala;113;2011;Gerardo Naranjo;Stephanie Sigman, Irene Azuela, Jose Yenque;Crime, Drame, Thriller;
6217;Bol;165;2011;Shoaib Mansoor;Humaima Malik, Manzar Sehbai, Iman Ali;Crime, Drame, Thriller;
6218;Ronal le Barbare;89;2011;Kresten Vestbjerg Andersen, ThorbjÃ¸rn Christoffersen, Philip Einstein Lipski;Anders Juul, Hadi Ka-Koush, LÃ¦rke Winther Andersen;Animation, Aventure, Comedie;
6219;La femme du VÃ¨me;85;2011;Pawel Pawlikowski;Ethan Hawke, Kristin Scott Thomas, Joanna Kulig;Drame, MystÃ¨re, Thriller;
6220;Inside Out;93;2011;Artie Mandelberg;Paul Levesque, Michael Rapaport, Parker Posey;Crime, Drame;
6221;Thin Ice;93;2011;Jill Sprecher;Greg Kinnear, Billy Crudup, Alan Arkin;Comedie, Crime, Drame;
6222;Edwin Boyd;105;2011;Nathan Morlando;Scott Speedman, Kelly Reilly, Kevin Durand;Crime, Drame;
6223;Irvine Welsh's Ecstasy;99;2011;Rob Heydon;Adam Sinclair, Kristin Kreuk, Billy Boyd;Drame, Romantique;
6224;4h44 Dernier jour sur terre;82;2011;Abel Ferrara;Willem Dafoe, Shanyn Leigh, Natasha Lyonne;Drame, Fantastique, Science-Fiction;
6225;Another Happy Day;119;2011;Sam Levinson;Ellen Barkin, Ezra Miller, Ellen Burstyn;Comedie, Drame;
6226;Xin hai ge ming;121;2011;Li Zhang, Jackie Chan;Jackie Chan, Winston Chao, Bingbing Li;Action, Aventure, Drame;
6227;Urban Explorer - Le sous-sol de l'horreur;94;2011;Andy Fetscher;Nathalie Kelley, Nick Eversman, Klaus Stiglmeier;Horreur, Thriller;
6228;Creature;93;2011;Fred Andrews;Mehcad Brooks, Serinda Swan, Daniel Bernhardt;Horreur;
6229;Killing Bono;114;2011;Nick Hamm;Ben Barnes, Robert Sheehan, Krysten Ritter;Comedie, Music;
6230;Recoil;94;2011;Terry Miles;Steve Austin, Serinda Swan, Danny Trejo;Action;
6231;Sur le chemin des dunes;94;2011;Bavo Defurne;Ben Van den Heuvel, Eva van der Gucht, Thomas Coumans;Drame;
6232;Tactical Force;91;2011;Adamo P. Cultraro;Steve Austin, Michael Shanks, Michael Jai White;Action, Comedie, Crime;
6233;Burning Man;110;2011;Jonathan Teplitzky;Matthew Goode, Rachel Griffiths, Bojana Novakovic;Drame, Romantique;
6234;Livide;92;2011;Alexandre Bustillo, Julien Maury;ChloÃ© Coulloud, FÃ©lix Moati, JÃ©rÃ©my Kapone;Fantastique, Horreur;
6235;Panic Button;96;2011;Chris Crow;Scarlett Alice Johnson, Jack Gordon, Michael Jibson;Horreur, Thriller;
6236;Polisse;127;2011;MaÃ¯wenn;Karin Viard, Joey Starr, Marina FoÃ¯s;Crime, Drame;
6237;Oslo, 31 aoÃ»t;95;2011;Joachim Trier;Anders Danielsen Lie, Hans Olav Brenner, Ingrid Olava;Drame;
6238;Lucky;103;2011;Gil Cates Jr.;Colin Hanks, Ari Graynor, Jeffrey Tambor;Comedie;
6239;House of the Rising Sun;90;2011;Brian A Miller;Dave Bautista, Amy Smart, Dominic Purcell;Action, Crime, Drame;
6240;Juan de los Muertos;92;2011;Alejandro BruguÃ©s;Alexis DÃ­az de Villegas, Jorge Molina, Andros PerugorrÃ­a;Action, Comedie, Horreur;
6241;Husk;83;2011;Brett Simmons;Devon Graye, Wes Chatham, C.J. Thomason;Drame, Horreur, Thriller;
6242;Romeos;94;2011;Sabine Bernardi;Rick Okon, Maximilian Befort, Liv Lisa Fries;Drame;
6243;A Bag of Hammers;85;2011;Brian Crano;Jason Ritter, Jake Sandvig, Chandler Canterbury;Comedie, Drame;
6244;Breakaway;101;2011;Robert Lieberman;Vinay Virmani, Camilla Belle, Russell Peters;Comedie, Drame, Sport;
6245;Inside;97;2011;AndrÃ©s Baiz;Quim GutiÃ©rrez, Martina GarcÃ­a, MarÃ­a Soledad RodrÃ­guez;Drame, MystÃ¨re, Thriller;
6246;Hellraiser: Revelations;75;2011;VÃ­ctor GarcÃ­a;Tracey Fairaway, Fred Tatasciore, Nick Eversman;Horreur;
6247;New Kids Nitro;74;2011;Steffen Haars, Flip Van der Kuil;Huub Smit, Tim Haars, Wesley van Gaalen;Action, Comedie;
6248;Un Ã©tÃ© brÃ»lant;95;2011;Philippe Garrel;Monica Bellucci, Louis Garrel, CÃ©line Sallette;Drame;
6249;Terri;105;2011;Azazel Jacobs;John C. Reilly, Jacob Wysocki, Bridger Zadina;Comedie, Drame;
6250;La proie;102;2011;Eric Valette;Albert Dupontel, Alice Taglioni, StÃ©phane Debac;Action, Crime, Thriller;
6251;Trishna;117;2011;Michael Winterbottom;Freida Pinto, Riz Ahmed, Meeta Vashisht;Drame;
6252;Angels Crest;92;2011;Gaby Dellal;Thomas Dekker, Lynn Collins, Elizabeth McGovern;Drame;
6253;Rosewood Lane;97;2011;Victor Salva;Rose McGowan, Lin Shaye, Ray Wise;Thriller;
6254;The Theatre Bizarre;114;2011;Douglas Buck, Buddy Giovinazzo, David Gregory, Karim Hussain, Jeremy Kasten, Tom Savini, Richard Stanley;Udo Kier, Virginia Newcomb, Amanda Marquardt;Horreur;
6255;The River Murders;92;2011;Rich Cowan;Ray Liotta, Christian Slater, Ving Rhames;Thriller;
6256;Demons Never Die;93;2011;Arjun Rose;Robert Sheehan, Ashley Walters, Tulisa Contostavlos;Horreur;
6257;Anuvahood;88;2011;Adam Deacon, Daniel Toland;Adam Deacon, Femi Oyeniran, Ollie Barbieri;Comedie, Crime, Drame;
6258;Bellflower;106;2011;Evan Glodell;Evan Glodell, Tyler Dawson, Jessie Wiseman;Action, Drame, Romantique;
6259;Alyce;90;2011;Jay Lee;Jade Dornfeld, Tamara Feldman, James Duval;Horreur, Thriller;
6260;17 filles;86;2011;Delphine Coulin, Muriel Coulin;Louise Grinberg, Juliette Darche, Roxane Duran;Drame;
6261;The Veteran;98;2011;Matthew Hope;Toby Kebbell, Adi Bielski, Tony Curran;Action, Thriller;
6262;All Superheroes Must Die;78;2011;Jason Trost;Jason Trost, Lucas Till, James Remar;Science-Fiction, Thriller;
6263;Faust;140;2011;Aleksandr Sokurov;Johannes Zeiler, Anton Adasinsky, Isolda Dychauk;Drame, Fantastique;
6264;Someday This Pain Will Be Useful to You;95;2011;Roberto Faenza;Aubrey Plaza, Lucy Liu, Stephen Lang;Drame;
6265;You and I;100;2011;Roland JoffÃ©;Mischa Barton, Shantel VanSanten, Anton Yelchin;Drame, Romantique, Thriller;
6266;Go-ji-jeon;133;2011;Hun Jang;Ha-kyun Shin, Soo Go, Seung-su Ryu;Drame, Historique, Guerre;
6267;DeadHeads;96;2011;Brett Pierce, Drew T. Pierce;Michael McKiddy, Ross Kidder, Markus Taylor;Aventure, Comedie, Horreur;
6268;Exit Humanity;114;2011;John Geddes;Brian Cox, Mark Gibson, Dee Wallace;Drame, Horreur;
6269;Le moine;101;2011;Dominik Moll;Vincent Cassel, DÃ©borah FranÃ§ois, JosÃ©phine Japy;Drame, MystÃ¨re, Thriller;
6270;Knockout;90;2011;Anne Wheeler;Steve Austin, Daniel Magder, Janet Kidder;Action, Familliale;
6271;Ladies vs. Ricky Bahl;140;2011;Maneesh Sharma;Ranveer Singh, Anushka Sharma, Parineeti Chopra;Comedie, Drame;
6272;The Music Never Stopped;105;2011;Jim Kohlberg;Lou Taylor Pucci, J.K. Simmons, Julia Ormond;Drame;
6273;Poulet aux prunes;93;2011;Vincent Paronnaud, Marjane Satrapi;Mathieu Amalric, Edouard Baer, Maria de Medeiros;Comedie, Drame;
6274;The Pill;83;2011;J.C. Khoury;Noah Bean, Rachel Boston, Anna Chlumsky;Comedie, Drame, Romantique;
6275;Seconds Apart;89;2011;Antonio Negret;Orlando Jones, Edmund Entin, Gary Entin;Horreur, Thriller;
6276;Hollow;91;2011;Michael Axelgaard;Emily Plumtree, Sam Stockman, Jessica Ellerby;Horreur, MystÃ¨re, Thriller;
6277;Kronjuvelerna;120;2011;Ella Lemhagen;Alicia Vikander, Bill SkarsgÃ¥rd, Loa Falkman;Drame;
6278;Dragon Gate, La lÃ©gende des sabres volants;122;2011;Hark Tsui;Jet Li, Xun Zhou, Kun Chen;Action, Aventure;
6279;Hara-Kiri: mort d'un samourai;128;2011;Takashi Miike;KÃ´ji Yakusho, Munetaka Aoki, Naoto Takenaka;Drame;
6280;What a Man;95;2011;Matthias SchweighÃ¶fer;Matthias SchweighÃ¶fer, Sibel Kekilli, Elyas M'Barek;Comedie, Romantique;
6281;Chillerama;120;2011;Adam Green, Joe Lynch, Bear McCreary, Adam Rifkin, Tim Sullivan;Adam Rifkin, Sarah Mutch, Ray Wise;Comedie, Horreur;
6282;Age of the Dragons;91;2011;Ryan Little;Danny Glover, Vinnie Jones, Corey Sevier;Action, Aventure, Fantastique;
6283;The Entitled;91;2011;Aaron Woodley;Kevin Zegers, Ray Liotta, Laura Vandervoort;Thriller;
6284;Skull;93;2011;Robert Hall;Brian Austin Green, Thomas Dekker, Mimi Michaels;Horreur;
6285;The Speed of Thought;93;2011;Evan Oppenheimer;Nick Stahl, MÃ­a Maestro, Taryn Manning;Science-Fiction, Thriller;
6286;La fille du puisatier;107;2011;Daniel Auteuil;Daniel Auteuil, Astrid BergÃ¨s-Frisbey, Nicolas Duvauchelle;Drame, Romantique;
6287;The Wicker Tree;96;2011;Robin Hardy;Brittania Nicol, Henry Garrett, Graham McTavish;Drame, Horreur;
6288;Inbred;90;2011;Alex Chandon;Jo Hartley, James Doherty, Seamus O'Neill;Comedie, Horreur;
6289;Sacrifice;100;2011;Damian Lee;Cuba Gooding Jr., Christian Slater, Kim Coates;Action, Drame, Thriller;
6290;Desi Boyz;0;2011;Rohit Dhawan;Bruna Abdullah, John Abraham, Shekhar Bassi;Comedie, Drame;
6291;Ingrid Jonker;100;2011;Paula van der Oest;Carice van Houten, Liam Cunningham, Rutger Hauer;Drame;
